index,used,title,author,publish_time,href,context,search
1,1,표절을 사랑했던 아랍인 M의 최후,작은나무,May 31. 2023,https://brunch.co.kr/@@64Yi/617,1학기의 대미를 장식할 파이널 프로젝트를 기한 이틀 전에 깃허브에 올렸다. 깃허브(GitHub)는 개발자들이코딩소스를 올리는 최대 오픈 소스 사이트로 최근에 일론 머스크가 인공지능 관련 알고리즘과 코드 소스를 올려놓은 걸 구경한 적이 있다. 물론...,코딩
2,0,2023년 이후 4년제 학위의 가치란? - 인구 절벽에 따른 학생 감소로 모두 받는 흔한 것,김영무,May 31. 2023,https://brunch.co.kr/@@70MG/150,코드를 짜는 것을 제외하면 모두 했다고 생각합니다. 은퇴하고 꼭 해보고 싶은 것은 소프트웨어 개발 부트캠프를 통해 직접코딩을 배워보는 것입니다. 그게 뭐라고 연봉차별이 존재했는지 꼭 배워보고 싶습니다. IT 비전공자도 언제든지 국비지원 학원...,코딩
3,1,"스타트업 이직 프로그래머, 어떻게 기여할 수 있을까?",잇다 itdaa,May 31. 2023,https://brunch.co.kr/@@PGz/665,"그만큼의 시간을 많이 투자하는 법 밖이 가장 좋습니다. 개발은 시간을 투자하는 만큼 능력이 향상됩니다. 어느 정도의코딩레벨을 가지고 계신지 모르겠지만, 많은 양의 시간을 투자하여 많은 경험을 쌓는 것이 여전히 정도라고 봅니다. 개발하기 전...",코딩
4,1,프론트엔드로 취업을 해봅시다 - 프론트엔드로 첫 발을 딛는 여러분들에게.,박뚠뚠,May 30. 2023,https://brunch.co.kr/@@eyPn/11,알고리즘을 많이 공부했죠ㅎㅎ 그런데 최근에는 이 같은 풍조가 조금 변한 것 같더군요. 대기업이야 지원자가 많아서 아직도코딩테스트를 봅니다만 스타트업의 경우 과제 형식과 기술 면접의 비중이 는 것 같습니다. 제 생각에도 빨리 회사에 적응할 수...,코딩
5,0,"ChatGPT로 고교 영어 수업 자료를 제작해보아따. - 결론은, 학원 샘들 편해질듯",공존,May 30. 2023,https://brunch.co.kr/@@4vGh/904,"겨울 방학 내내 ChatGPT로 소란스러웠다. 이것으로코딩도 하고, AI 이미지 제작에도 활용하고, 학습에도 쓴다고 말이지. 나는 미래형 교과서에 에듀테크를 활용하도록 하는 사업에 응모해, 계획서를 작성해야했기 때문에 당연히 ChatGPT를 활용한 영어...",코딩
6,0,긍정적인 '채용 경험'을 제공하려면 - 월간 인재경영 2023년 06월호 특집 기고문,사소한 이야기,May 30. 2023,https://brunch.co.kr/@@8GlK/4,"만드는 관문 역할을 하기 때문이다. 최근 채용 솔루션으로 각광 받고 있는 ATS(Applicant Tracking System)를 활용하면코딩없이도 SNS 블로그처럼 손쉽게 채용사이트를 만들 수 있다. 소셜 미디어 채널로는 링크드인, 블로그, 유튜브 등이 효과적이다...",코딩
7,0,'레이저 안전'이 중요한 이유 및 '레이저 안전 등급' - 레이저 마킹기를 안전하게 사용하기 위한 기초.,도미노코리아,May 30. 2023,https://brunch.co.kr/@@9Szd/137,이번 글에서는 '레이저 마킹기의 안전 문제'에 대해 알아보았습니다. 도미노코리아는 다음 포스팅에서도 더욱 유용하고 흥미로운코딩&마킹 이야기로 돌아오겠습니다. >> 도미노코리아 제품 문의 #도미노코리아 #레이저 #마킹기 #안전 #CO2 #UV #파이버 #등급,코딩
8,0,글쓰기와코딩- 둘 다 언어는 언어지,느곰씨,May 30. 2023,https://brunch.co.kr/@@4GnM/81,코딩을 시작한 지는 꽤 오래된 것 같다. 시골 초등학교(국민학교) 구석에 있던 4비트 컴퓨터는 우리가 가지고 놀 수 있는 유일한 장난감이었다. 시골은 문을 나서자마자 모든 것이 놀이터였지만 전자기기로 된 장난감은 그것이 유일했다. 카세트테이프에...,코딩
9,0,나도 보고 싶어요. - 아려오는 엄마 마음,꿈킹맘 에이미,May 30. 2023,https://brunch.co.kr/@@6nFF/15,"부쩍 '볼 수 있었으면 하는 희망'을 말로 표현하는 것을 내가 직접 들을 때가 많다. 이유인즉, 요새 들어 자주 가지고 노는코딩컴퓨터 장난감에서 이야기 순서를 배열해야 하는데 자기는 혼자서 할 수가 없다고... 친구에게 부탁해야 한다고..(작지만...",코딩
10,1,재미로 시작한 일이 어쩌다 - 오픈 소스 (1/2),세옹지인,May 30. 2023,https://brunch.co.kr/@@eRYT/17,나만의 요리법 - 소스 코드 프로그래머가 하는 다양한 일 중 가장 본질적인 일은 프로그래밍(혹은코딩)이다. 프로그래머라는 말 자체가 프로그래밍을 하는 사람일아는 뜻이니까. 프로그래밍은 컴퓨터에게 시키고 싶은 일을 컴퓨터가 이해하기 쉽게 글로...,코딩
