index,used,title,author,publish_time,href,context,search
77,1,"ChatGPT-as-a-Service Interface - ChatGPT, 검색의 시대에서 추천의 시대로 전환시킨다",김학용,Jun 14. 2023,https://brunch.co.kr/@@2gvj/305,"보게 되는데, 결국은 너무 많아서 포기를 하게 되죠. 그런 일을 대신 해주겠다는 것입니다. 오전에 ChatGPT 강연을 한 모소프트웨어회사에서도 단순히 API를 이용하는 것이 아니라 자신들만의 독자적인 LLM 솔루션을 확보하여 기존 솔루션에 새로운 기능...",소프트웨어
78,0,"글로벌 무대에서 돋보인 현대차그룹 모델들 - 현대자동차그룹은 북미, 독일 자동차 시상식에서 우수한 경쟁력을 입증했다.",HMG 저널,Jun 14. 2023,https://brunch.co.kr/@@3hBb/844,"글로벌 자동차 업계가 현대자동차그룹의 행보에 주목하고 있다. 전동화, 자율주행차, SDV(SoftwareDefined Vehicle,소프트웨어중심으로 진화하는 자동차) 등 대전환기를 맞이한 자동차 산업의 중심에서 인상적인 활약을 펼치고 있기 때문이다. 지난해에...",소프트웨어
79,0,CES2023 Key Takeaways - 난 CES를 통해 어떤 변화와 혁신의 움직임을 보았는가?,최형욱의 Radical Perspective,Jun 14. 2023,https://brunch.co.kr/@@q0K/20,"사라지기 시작한다. 다만 가전과 전기자동차, 전자제품 위주의 생태계를 더 밀접하게 반영하고 있고 신기술이나소프트웨어, 서비스와 같은 영역은 CES에 받아 들여진지 오래지 않아 그 시차가 더 클 뿐이다. 그래서 CES에서는 하나 하나의 제품과 기술을...",소프트웨어
80,0,역행자,책인사,Jun 14. 2023,https://brunch.co.kr/@@7SUi/609,"된다. 나는 책이라는 형태로 다가온 행운을 꼭 잡고 놓지 않았다. 그 책들은 패배주의에 사로잡힌 내 머릿속에 새로운소프트웨어를 깔아주는 설치 가이드였다. 나는 마침내 발밑에 깔린 철로를 보게 되었고, 절망으로 가는 전철에서 내릴 수 있었다...",소프트웨어
81,0,"콘텐츠의 예술 + ICT기술 = 에스테텍 프로그램? - 2023 콘텐츠액셀러레이팅 지원사업 ""에스테텍 스케일업 프로그램 시즌4""",오섭,Jun 14. 2023,https://brunch.co.kr/@@bhb3/28,"창업자 또는 7년 이내 콘텐츠 분야 스타트업 ※ 신산업 분야(AI, AR/VR, ESG 등)와 융합 가능한 원천 IP, OTT, 메타버스,소프트웨어등의 사업을 영위하는 초격차 콘텐츠 스타트업 선발규모: 10개사(팀) 예정 ※ 동일 사업 아이템 및 기술로 당해 연도...",소프트웨어
82,0,9.모바일 디바이스에서 쉽게 인풋 입력하기 - [1]인풋컨트롤,Potatohands,Jun 14. 2023,https://brunch.co.kr/@@2aZa/266,통해 타이핑을 할수 있다. 모든 폼 필드에 이런 옵션이 적용되는 것은 사용성이 좋지 않을 수도 있다. 예를 들어 음성인식소프트웨어는 자주 이름을 인식하거나 주소를 인식할때 정확도가 떨어지는 문제를 일으킨다. GPS인식와 음성인식의 기능은 많은...,소프트웨어
83,0,"채식하는 요기니 - 나의 요가 5) 몸과 정신, 그 사이의 정치 그리고 신념",요리하고 요가하고 책 읽는 개백수,Jun 14. 2023,https://brunch.co.kr/@@did5/11,비싼 건 채소였다. 그래서 나는 단돈 천원으로도 살 수 있는 부추나 상추를 사먹었다. 그러던 중 연애를 시작했다. 한소프트웨어회사의 '문제 생기면 뒷처리하는' 엔지니어인 그는 당시 수원 삼성전자 건너편 원룸가에 자주 출입했다. 안드로이드...,소프트웨어
84,0,"현대자동차의 ccNC, ""소프트웨어중심을 향한 걸음""",현대자동차,Jun 14. 2023,https://brunch.co.kr/@@bQOC/345,"의미합니다. 현대자동차는 2025년까지 모든 차종을 SDV로 대 전환해 새로운 스마트 모빌리티 시대의 문을 열고, 고객들이소프트웨어로 연결된 안전하고 편안한 이동의 자유와 혁신적인 사용자 경험을 누릴 수 있도록 할 계획입니다. 디 올 뉴 그랜저 실내...",소프트웨어
85,1,ChatGPT 등장에 따른 법적 리스크 (Part 1) - AI X NFT in Legal,캘리포니아 성변호사,Jun 14. 2023,https://brunch.co.kr/@@90wZ/205,"Confidentiality) 일단 가장 먼저 떠오르는 문제로는 기밀 유지에 대한 리스크가 있다. 많은 기업들이 비즈니스 전략,소프트웨어또는 기타 내부적 지식재산 등을 더욱 발전시키거나 개선하기 위해 GAI를 사용하고자 하는 수요가 많지만, ChatGPT 및 기타...",소프트웨어
86,0,인공지능 핵심 기업 팔란티어 미래 전망은 어떠한가 - 인공지능(AI) Sector,건강나무,Jun 14. 2023,https://brunch.co.kr/@@cbI/53,데이터를 관리하고 있는 회사들이 어려움을 겪을 수 있는 모든 문제를 데이터를 통해 이해할 수 있도록 해준다. 먼저소프트웨어전문가를 회사에 파견하고 그러한 데이터들을 관리할 수 있도록소프트웨어를 기업들에게 맞게 맞춤형 서비스를 제공한다...,소프트웨어
87,0,게임의 발전과 함께하는 세계문화유산 1/2,유정호,Jun 13. 2023,https://brunch.co.kr/@@3MXB/494,"격려하고 지지해주기도 한다. 실제로 청소년들의 진로 희망을 살펴보면 ‘프로게이머’. ‘게임 그래픽 디자이너’, ‘게임개발자’ 등 게임과 관련된 직종을 선택하고, 꿈을 이루기 위해 노력하는 경우를 어렵지 않게 흔히 볼 수 있다. 2021년 한국직업...",개발자
88,0,빅데이터 시대 나의 강점 찾기 - ”직장인 데이터 성향 테스트”,데이터리안,Jun 13. 2023,https://brunch.co.kr/@@dhOj/122,"기초 문법부터 같이 공부할 수 있는 패키지를 추천해. 패키지는 컴퓨터공학 전공이 아닌 사람들도 많이 들으니까 'SQL...개발자들이 쓰는 프로그래밍 언어 아니야? 어려울 것 같은데' 걱정이 되어서 아직 시도도 안 해 본 사람이 있다면, 이번에 겁내지...",개발자
89,1,8년차개발자의 고민거리 - 일과 성장,헤이영,Jun 13. 2023,https://brunch.co.kr/@@335g/1,"연차가 찰수록 점점 더 많은 고민거리가 생깁니다. 신입개발자때는 모르는 게 너무 많아, 단순히 `맡은 업무를 잘 해내자!` 가 목표였었던 것 같습니다. <출처: 인스타툰 데브경수 @waterglasstoon> 근 5년간 매년 스스로 회고했었습니다. '맡은 일을...",개발자
90,0,"그러니까, 저 이제 진짜 간다니까요? - 캐나다 워홀 출국 당일",다니,Jun 13. 2023,https://brunch.co.kr/@@drmb/11,"뭘 어떡해, 어떻게든 또 잘하겠지. 아니, 또 못하면 어때? 그렇게 배우면 되지. 그러려고 가는 거잖아? 아니, 차라리 가서개발자로 취업을 한다거나 영어를 공부하겠다거나 그런 뚜렷한 목표가 있다면 몰라도, 그동안 해보지 않았던, 하기 꺼려졌던...",개발자
91,0,가치가 느껴지는 컨셉이 이노베이션을 완성합니다.,Kevin Seo 서승교,Jun 13. 2023,https://brunch.co.kr/@@3z3h/78,"얻는 가치를 쉽게 느끼지 못함. 마케팅 비용이 많이 듦. 어얼리 어댑터나 과시욕이 있는 일부 사람들에게 어필하는 영역.개발자나 업계에서 열광하는 품질 혁신 영역. ChatGPT, 무인드론택시 3 사분면 - 제로혁신(Zero Innovation) : 고객이 느끼는 기술...",개발자
92,0,성과중심사고란,최효석,Jun 13. 2023,https://brunch.co.kr/@@xX6/425,"입고 오는 직원 또는 정장에 구두를 신고 오는 직원 누가 맞는 것일까? 정답은 ""가장 성과를 낼 수 있는 복장""이다.개발자처럼 오랜 시간 한 자리에 앉아서 내근 업무를 하는 일이라면 가장 편한 복장이 가장 성과를 낼 수 있는 복장이다. 반면 고객에게...",개발자
