index,used,title,author,publish_time,href,context,search
1,0,SLAM 기술: 공간 지능의 핵심 동력,신동형,8시간전,https://brunch.co.kr/@@2N1T/148,"않고, 로봇에 장착된 카메라, 라이다(LiDAR), 관성 센서(IMU) 등을 활용하여 자율적으로 동작합니다. SLAM은 크게프론트엔드(frontend)와 백엔드(backend) 두 부분으로 구성됩니다.프론트엔드는 센서 데이터를 처리하여 로봇의 이동(odometry)과 환경의...",프론트엔드
2,0,10년 뒤에 같이 그만 두자!,Jade,31분전,https://brunch.co.kr/@@4ZId/28,"사라지는 카페가 얼마나 많은데 저런 한가한 소리를 해대는 남편을 보며 절로 한숨이 나왔다. ""프리랜서 하면 되잖아?소프트웨어엔지니어면 해외 취업도 잘된다던데? 우리 저기 동유럽 같은 데 가서 외노자의 삶을 살아보는 건 어때?"" 스리슬쩍 나의...",소프트웨어
3,0,기업가 및 기업가정신에 관한 이론적 고찰,조영필 Zho YP,43분전,https://brunch.co.kr/@@19Tg/1295,"기원은 컴퓨터 개발이 시작되는 1950년대까지 거슬러 올라간다. 휴렛패커드사, 인텔사, 애플사로부터 최근의 인터넷 검색소프트웨어인 야후로 이어지는... 1970년대 중반이래 미국경제는 경영관리론 경제managerial economy에서 기업가 경제...",소프트웨어
4,0,코딩이란 무엇인가?,미래지기,1시간전,https://brunch.co.kr/@@Wp7/270,"뜻인데요, 예전에는 '프로그래밍'이라는 말을 주로 썼는데 요즘에는 '코딩'이라는 말을 더 많이 쓰는 것 같아요. 프로그램(소프트웨어)을 만든다는 게 무엇일까요? 이를테면 '카카오톡' 같은 앱을 만드는 것이에요. 또한 '포토샵'이나 '컴퓨터 게임'을...",소프트웨어
5,0,"새로운 비즈니스 플랫폼, ST1 개발자 인터뷰",HMG 저널,1시간전,https://brunch.co.kr/@@3hBb/1079,"외부 앱에서 원하는 시간과 형태로 데이터를 활용할 수 있어서 비즈니스 효율을 높이는 데 기여할 수 있다. 즉, ST1은소프트웨어를 중심으로 업무 환경 개선에 도움을 줄 수 있는 SDV(SoftwareDefined Vehicle)의 개념도 아우른다고 할 수 있다. (*FMS는...",소프트웨어
6,0,9. 에코브가 처음 만난 국내 고객들,임성대,2시간전,https://brunch.co.kr/@@gXbc/10,사후관리 방식은 개선할 필요가 있어 보였다. https://www.youtube.com/watch?v=2aHRMWb7n-U 만도에서 제공받은 신규소프트웨어와 개선 부품으로 어느 정도 문제들은 잡혀나가기 시작했다. 그 이후 지바이크는 수량을 늘려 본격적인 운영에 돌입했다...,소프트웨어
7,0,디자이너가 미드저니 사용을 주저하게 만드는 3가지 이유,아침산책,3시간전,https://brunch.co.kr/@@fWKx/399,"없으며, 무제한 이미지를 생성하려면 매달 30달러를 지불해야 합니다. 한국인들은 매월 요금을 내고 사용하는 구독형소프트웨어에 대한 수용도가 낮아 이러한 요금이 부담이 될 수 있습니다. 해결 방안 1. 영어 프롬프트 문제 해결 미드저니 프롬프트는...",소프트웨어
8,0,객체지향 분석설계 말고 객체지향 사고법,안영회 습작,4시간전,https://brunch.co.kr/@@4DBT/1775,product quality. 역시 크롬 번역도 첨부합니다. OOAD ( 객체 지향 분석 및 설계 )는 객체 지향 프로그래밍을 적용하고소프트웨어개발 프로세스 전반에 걸쳐 시각적 모델링을 사용하여 이해관계자 커뮤니케이션 및 제품 품질을 안내함으로써...,소프트웨어
9,0,11배 오른 불닭볶음면 주식: 아는 주식을 사라는 철학,필로소피아,1시간전,https://brunch.co.kr/@@fLC4/147,"거리가 먼 식품회사가 말입니다 지금으로부터 약 2년 반 전, 유재석과 조세호가 진행하는 '유퀴즈 온 더 블록'에 불닭볶음면개발자가 게스트로 나왔습니다. 이때 삼양식품 주가는 7만 원 대 후반이었습니다. TVN같이 큰 방송사가 부를 정도면 성공은 검증...",개발자
10,0,메모리 & OOP vs 스토리지 & FP,김영빈,3시간전,https://brunch.co.kr/@@fdRl/10,있어야 한다는 사실을 발견하게 되는 것이다. 즉 서비스/도메인에 대한 높은 이해가 프로그래밍의 시작이다. 많은 거장들이개발자를 컴퓨터 뚝딱이는 사람이 아니라 문제를 해결하는 사람이라고 이야기한다. 문제를 해결하기 위해서는 문제를 제대로 볼...,개발자
11,0,창밖은 가을,화양연화,4시간전,https://brunch.co.kr/@@71eP/152,"격정의 만남을 뒤로하고 아이들은 각자의 생활을 찾아갔다. 민준이는 복학해 기숙사로 들어가고, 민재는 컴퓨터 게임 스토리개발자가 되고 싶다며 관련한 작은 회사에 들어갔다. 다행인 건 다들 연재보다 더 단단해져 있었다. 그 사건이 일어났을 땐, 왜...",개발자
12,0,인공지능 시대를 선도하는 10가지 인기 AI 직무!,코아,4시간전,https://brunch.co.kr/@@dUXb/70,"AI 엔지니어 (AI Engineer) AI 엔지니어는 인공지능 시스템을 설계, 개발, 구현하는 전문가입니다. 이들은 머신러닝 알고리즘을코딩하고, 신경망을 설계하며, AI 모델을 훈련시키고 최적화합니다. 주요 업무로는 데이터 전처리, 모델 아키텍처 설계...",코딩
13,0,사람들이 리플을 혐오하는 진짜 이유,얼리,4시간전,https://brunch.co.kr/@@fiJD/137,"#비트코인 #알트코인 #반감기 #비트코인ETF #클래스101 #MANA #SAND #밈코인 #솔라나 #코인마켓캡 [클래스 101]코딩1도 몰라도 누구나 메타버스로 돈 벌 수 있다. [클래스 101] 세상에서 가장 빨리 부자되는 법, 암호화폐 https://101creator.page.link...",코딩
14,0,당신은 앨범을 내고 싶다.,이레네,Jun 25. 2024,https://brunch.co.kr/@@9ql1/5,UX2였다. 가운데에 오로지 미학만을 위해 존재하는 아날로그 미터기가 너무 예뻤다. 샛노란 불빛도 들어온다. 같이 오는소프트웨어는 GearBox. Line 6의 주력 제품인 POD의 이펙터가 거의 그대로 들어있다. 지금 생각해 보면 가성비가 꽤 좋았다...,소프트웨어
15,0,롤 재접속 무한 반복 오류(버그) 해결 법(2024년),원두 향기,Jun 25. 2024,https://brunch.co.kr/@@gTDQ/28,정상적으로 서버에 연결할 수 없어 '롤 무한 재접속 오류'가 발생할 수 있습니다. 3. 클라이언트 문제 롤 클라이언트소프트웨어자체에 버그나 문제가 있을 수 있습니다. 특히 게임 업데이트 이후에는 새로운 버그가 발생할 가능성이 높습니다. 이러한...,소프트웨어
16,0,책 쓰면서 얻은 것들,제로,Jun 25. 2024,https://brunch.co.kr/@@c55K/140,"경험을 쌓을 수 있다. 이는 앞으로의 작가 활동에 큰 자양분이 된다. 14. 예쁜 책을 만들려면, 결국 인디자인과 같은소프트웨어를 사용해야 한다. (한글 워드로는 디테일면에서 한계가 있다.) 15. 글을 쓰다 보면 챕터별로 공백이 생기는 경우가 많다...",소프트웨어
17,0,B.I 수립 4단계: Target Insight,Josh,Jun 25. 2024,https://brunch.co.kr/@@cyrT/38,"때문에 SNS management tool을 활용하는 것도 하나의 방법이다. Meltwater, AgilityPR, Hootsuite 등 해외 SNS 분석소프트웨어를 사용하는 방법이 있다. SNS Mangement data로 여러분의 회사가 어떤 검색어, 연관키워드와 함께 노출되는지 분석한다. 사용...",소프트웨어
18,0,컴퓨터 작업 시간을 줄이는 단축키,OOJOO,Jun 25. 2024,https://brunch.co.kr/@@575g/338,"아니 아주아주 많이 많다. 적은 금액을 투자하고서 그 가치는 10배다. 단, 이들 매크로 키패드 구입 시에는 오픈소스 Sayo소프트웨어를 지원하는 것을 구매해야 한다. 그래야, 각 키들을 원하는 매크로로 커스터마이징해서 사용할 수 있다. 전용...",소프트웨어
19,0,"059 Been there, Done that",Jimmy Park,Jun 25. 2024,https://brunch.co.kr/@@gBFt/75,가능했다. 기술총괄 조직의 무선통신팀에 배치되었다. Wi-Fi 무선랜 카드를 동작시키는소프트웨어개발 업무를 맡았다. 하드웨어를 동작시키는소프트웨어개발은 일반 앱을 개발하는 것과는 달랐다. Chip을 개발하는 회사가 만든 큰 Spec. 책을 공부한...,소프트웨어
20,0,학교도서관문화운동네트워크(학도넷)창립 20주년 참가후기,사서 고생하는 사서,Jun 25. 2024,https://brunch.co.kr/@@a43O/98,생각이 들었다. 20년 전 당시에는 학교도서관의 물리적 공간이 없었다면 현재는 공간은 있지만 공간을 활용해서 운영할소프트웨어인력이 여전히 부족하다는 것이다. 토크 콘서트 형식으로 학교도서관문화운동네트워크의 처음을 함께 했던 6분의 패널들과...,소프트웨어
21,0,"""쉐보레 가성비 전기차"" 뜻 밖의 근황 전해",오토카뉴스,Jun 25. 2024,https://brunch.co.kr/@@gCxJ/173,"최신화된 쉐보레 호평 EV6, 아이오닉 5와 경쟁 돌입 그럼에도 최근 쉐보레의 뛰어난 디자인, 인테리어 최신화 및 다양한소프트웨어제공 등 장점은 국내에서 꾸준한 인기를 끄는 차종인 전기 SUV와 잘 접목되어 어느 정도 두각을 나타낼 것으로 전망하는...",소프트웨어
22,0,향후 5년 수익률이 가장 기대되는 주식 TOP10,안상현,Jun 25. 2024,https://brunch.co.kr/@@1Nyw/1301,"선두 주자다. 광고 수익의 지속적 증가와 클라우드 사업의 확장이 기대되기 때문이다. 6. 마이크로소프트(Microsoft)소프트웨어및 클라우드 컴퓨팅 산업 분야다. 클라우드 플랫폼 Azure를 통해 클라우드 컴퓨팅 시장에서 AWS와 경쟁하고 있으며, Office...",소프트웨어
23,0,비즈니스 모델 만들기,다니엘,Jun 25. 2024,https://brunch.co.kr/@@gIKu/23,Advantage (경쟁 우위) 경쟁자들이 쉽게 모방할 수 없는 우리의 강점은 무엇인가? 예를 하나 들어볼까요? AI 일정관리소프트웨어라는 아이디어가 있다고 가정해 보겠습니다. 이미 시장에는 구글 캘린더와 같은 일정관리 툴이 있지만 수동으로 일정 관리...,소프트웨어
24,0,인공지능을 도입하면 기업과 국가에 어떤 영향을 미칠까?,키르히아이스,Jun 25. 2024,https://brunch.co.kr/@@5qqM/314,"여기에 대한 하버드나 스탠퍼드 측의 분석은 없는데 이건 아마 매출에 대한 기여도로 보는 자료다 보니 빅테크같이소프트웨어가 많은 비중을 차지할수록 기여도가 높고 소매, 반도체 같은소프트웨어비중이 낮은 산업에서 AI 기여도가 낮은 것으로...",소프트웨어
25,0,테크기업이라는 착각,Shaun,Jun 25. 2024,https://brunch.co.kr/@@1hte/160,"한 마디로 자체적으로 제품의 생산과 판매가 가능한 비즈니스 구조다. 대표적인 기업으로 애플이 있다. 애플은 하드웨어,소프트웨어, 콘텐츠를 자체적으로 생산하는 기업이다. 반대로 갤럭시는 구글에서 안드로이드 OS를 제공해 주지 않으면 제품 판매를...",소프트웨어
