index,used,title,author,publish_time,href,context,search
640,0,스타트업개발자채용 플랫폼 Top5,창업가 임진하,Apr 14. 2023,https://brunch.co.kr/@@8DQH/47,국내에서 스타트업이개발자를 채용할 수 있는 플랫폼을 소개하고 초기 스타트업 관점에서 장단점을 분석하였습니다. Top 1. 원티드 국내에서 IT 기업이 가장 많이 사용하는 채용 플랫폼입니다. 주로 채용 공고를 통한 지원자 채용과 AI 매칭과 매치업을...,개발자
641,0,"성장과 발전의 시작을 함께하는, 테킷백엔드스쿨 6기 -백엔드와 데브옵스 투 트랙 과정, 테킷백엔드스쿨 6기 : Python",멋쟁이사자처럼,Apr 14. 2023,https://brunch.co.kr/@@2YH6/78,테킷이 개발자로 성장하는 길의 등대가 되어드립니다. 안녕하세요. 신규 과정으로 인사드리게 된 테킷백엔드교육팀입니다.백엔드스쿨은 개발자로의 성장을 꿈꾸시는 많은 분들을 만나며 작년 6월부터 지금까지 벌써 5기 론칭을 마무리했습니다. 약...,백엔드
642,0,끊임없이 더 나은 기술을 고민하는 - 인터뷰/개발팀백엔드,포자랩스,Apr 14. 2023,https://brunch.co.kr/@@ekGT/10,"포자랩스의 개발팀은 SW 엔지니어, 프론트엔드 엔지니어 그리고백엔드엔지니어로 구성하고 있으며 현재 여러 서비스 개발을 맡고 있어요. 오늘은 그중백엔드엔지니어 주완님과 함께 포자랩스 개발팀 문화에 대하여 이야기를 나눠보았어요. Q. 안녕...",백엔드
643,0,제1회코딩문학제 대상 수상작 : <인생> - 이 시는 HTML문서의 형식을 빌려 인생을 표현하고 있습니다.,스파르타코딩클럽,Apr 13. 2023,https://brunch.co.kr/@@eYeG/22,코딩문학제는 '컴퓨터 프로그래밍'과 '문학적 글쓰기'를 결합하여 새로운 예술 형식을 탐구하는 대회입니다. 스파르타코딩클럽이 개발자의 일과 삶에 담긴 미(美)를 조명하기 위해 주최했습니다. Code Review : 이 시는 HTML문서의 형식을 빌려 인생을...,코딩
644,0,깊어지는 유통-제조사 갈등... 그 해결책은? ②,플래티어 PLATEER,Apr 13. 2023,https://brunch.co.kr/@@aLhx/811,및 관리에 최적화된 솔루션 ‘엑스투비(X2BEE)’를 제공하고 있습니다. D2C 플랫폼 솔루션 ‘엑스투비’에는 프론트엔드와백엔드를 분리한 ‘헤드리스 커머스(Headless Commerce)’ 기술과 차세대 소프트웨어 구조인 ‘MSA(Micro Service Architecture...,백엔드
645,0,2 웹개발자로 취업했습니다. - 웹 앱개발자로 취업하고 3개월동안의 이야기,서아온,Apr 13. 2023,https://brunch.co.kr/@@17Ft/34,상사 분의 그 말 하나에 난 여지없이 프로젝트에 투입되었다. 무엇인가 두려웠다. 현재 프로젝트에 쓰고 있는 것은백엔드쪽에선 spirng boot 와 jpa 그리고 프론트엔드에서 쓰이고 있는 것은 vue였다. 그렇게 약 2주간 다시 공부가 시작되었다. 학교에서...,백엔드
646,0,드디어 정체를 드러낸 융합형 인재 - 기획자와 엔지니어의 역량이 동시에 요구되는 시대,개인사업자 장감독,Apr 13. 2023,https://brunch.co.kr/@@6bMv/24,"직접테스트를 진행해 봤다. 방법은 챗GPT를 통해 캐릭터에게 어울리는 발렌시아가 스타일링을 제안하고, 해당 프롬프트를 미드저니와 같은 생성형 AI 툴에 입력해 그림을 그려낸 후 영상화를 진행해 완성하는 식이다. 아직 생성형 툴이 익숙하지 않아, 약...",코딩테스트
647,0,인재 채용 비용을 절감하는 방법은 무엇이 있을까요? - HR 인사이트,스펙터 Specter,Apr 13. 2023,https://brunch.co.kr/@@eddU/210,"원이라고 합니다. 채용 포털에 채용 공고를 게시하고 이를 홍보하는데 광고비가 지출되죠. 서류 검토와 역량테스트(코딩테스트, 디자인테스트등) 인터뷰 진행에 시간·인력이 투입되며, 지원자를 검증하기 위해 레퍼런스 체크(평판조회)도 진행해야...",코딩테스트
648,0,23년 1월 회고,jako,Apr 13. 2023,https://brunch.co.kr/@@bOIL/17,하는 느낌이었는데 이것저것 생각 안 하고 간단하게 올려서테스트할 정도라면 정말 최적의 선택이지 않나 싶은 느낌이다 문제는...안에다가 코드를 집어넣는 src layout 방식으로도코딩해 봤다. Root 디렉터리에서 볼 때 나름 뭔가 갖춰져 있네라는 생각...,코딩테스트
649,0,홈페이지 제작 견적 어떻게 책정되나요? - 유용한 홈페이지 제작을 위한 비용 책정 방법,김석민,Apr 12. 2023,https://brunch.co.kr/@@f8ul/18,"이 작업을 위해서는 UI/UX 디자인을 위해 약150-200시간이 소요됩니다. 개발 프로세스는 프론트엔드 150~200시간,백엔드50~200시간, QA(테스트) 및 PM(프로젝트 관리) 40~60시간 정도의 예산을 계획해야 합니다. 이러한 작업의 가격은 대략 1,000만원...",백엔드
650,0,"NFT 사업을 해봤는데, 망했습니다. - 사업 실패 회고록 3탄 (끝)",김라텔,Apr 12. 2023,https://brunch.co.kr/@@evA5/33,팀은 전문 디자이너가 없었기 때문에 이 점에서 본질적인 한계가 있었습니다. 3. 개발 아웃소싱의 한계 웹사이트 제작을 하면서프론트엔드는 스스로 구현할 수 있었지만 블록체인의 스마트컨트랙트와 관련해서는 시스템을 구축할 개발 지식이 없었기 때문...,프론트엔드
651,0,암호화폐와 블록체인을 위한 UX/UI 디자인 패턴,유훈식 교수,Apr 11. 2023,https://brunch.co.kr/@@3XFk/95,"UX가 이러한 편협한 생각을 바꾸는 열쇠라고 믿습니다. 어떻게? 신뢰를 형성하는 방법을 통해서입니다. 예를들어, 튼튼한백엔드는 종종 사이트를 더욱 신뢰할 수 있는 것으로 만듭니다. 47%의 사용자는 웹페이지가 2초 이내로 로드되기를 기대합니다. 그...",백엔드
652,0,19. IT 개발자 양성 교육기관 살펴보기 - 교육기관별 자바 개발자 양성 교육 과정 상세 비교,OurStellar,Apr 11. 2023,https://brunch.co.kr/@@eYtK/21,"프로그래밍 개발 앱 개발자 - 모바일 환경에서 네이티브 앱을 개발하는 개발자로 안드로이드와 iOS 앱 개발자로 구분됨백엔드개발자 - 서버 개발자로 프런트 엔드에서 요구하는 기능, 데이터를 처리하는 개발 과 같다. 임베디드 개발자와 같이 특정 영역...",백엔드
